screen_name,text
forthemen,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
windvondervenus,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
la_teeze,"b'san jose moves to boost electric use in homes, mayor touts electric cars as pg&amp;e power shutdown continues \xe2\x81\xa6@tesla\xe2\x81\xa9\xe2\x80\xa6 https://t.co/3pc2hskr3q'"
_thabang_m,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
sissysaraswati,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
timcbarton,"b'\xe2\x80\x9cnearly half the streets have been converted into car-free zones\xe2\x80\x9d. #superblocks, making cities safer and cleaner. c\xe2\x80\xa6 https://t.co/dnnyj5vfwk'"
redmaskdd,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
junnimia,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
johnny_fixer,"b'@gthiell @cadillaccanada lol, let\xe2\x80\x99s take it step by step.  infrastructure needs to come first. if you are charging\xe2\x80\xa6 https://t.co/pko7bhpawi'"
jefrymakumbe,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
renomate,"b'dropping off at before school care this morning my son says, ""dad, you know that mum that brings her kids on the fr\xe2\x80\xa6 https://t.co/ojqn9nt5pe'"
kathyrushford,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
unfilteredkelly,"b""@elonmusk where is the $20,000 model? i don't need all the bells and whistles like heated leather seats, auto pilot\xe2\x80\xa6 https://t.co/wt6chuersg"""
riroman122,"b""rt @upwork: \xe2\x9c\xb3\xef\xb8\x8fcase study\xe2\x9c\xb3\xef\xb8\x8f how upwork's content team produced 8x more content assets and delivered 100+ multichannel assets in a quarter by\xe2\x80\xa6"""
dankomomes,"b'rt @theroyaldutch_: @grandayy @elonmusk @mkbhd @mrbeastyt elon musk to plant first tree on mars, calling it now. first he launches an elect\xe2\x80\xa6'"
ehmayeka,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
jzbeast,b'@monkeyderkpo1 they were also on the 3ds. i\xe2\x80\x99m kind of thinking of it like with botw. big new entry in the series on\xe2\x80\xa6 https://t.co/jofjcj1yjs'
amreed2,"b'@priyankasondur @drgiesler we call this ""identity loyalty"" when people buy a tesla, they aren\'t just buying an elec\xe2\x80\xa6 https://t.co/mj9i6e8fm4'"
ankeyt,b'@dpradhanbjp @indianoilcl in next 5 years you want electric car on roads....why investing in oil and gases??'
bucknak26472404,b'@kimstrassel @drawandstrike @holmanjenkins @wsj all those electric car owners are really getting the shaft.'
daniebello,b'@goodkindalex it\xe2\x80\x99s measured next to a camry to show how owning a entry segment luxury electric car is long term a b\xe2\x80\xa6 https://t.co/ttv1pcxo5f'
thattallstoner,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
kwame_agyei,b'rt @reutersplus: collaboration is powering the next generation of electric and hybrid vehicles. reducing the weight of car components by up\xe2\x80\xa6'
boworezky,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
cannedcat,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
dullhanah,b'rt @jpr007: nobel laureate says better batteries can cement electric-car era  https://t.co/pkyosbf56o'
telegraphluxury,b'these chic places to charge your electric car make eco-friendly luxury roadtrips a possibility\xe2\x80\xa6 https://t.co/dlczogatpn'
asturianix98,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
anozieudemezue,"b""rt @hein_the_sayer: the tesla effect  the 82-year old people's car brand is racing to catch up with the 16-year old teenage leader of new e\xe2\x80\xa6"""
iconmi,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
filmtoilet,b'@dr_giallo mercedes mcnab went on to play the long recurring character of harmony on buffy the vampire slayer. a bu\xe2\x80\xa6 https://t.co/xpnh3sg8lz'
silentset24,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
devilsadist,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
riz_f1,"b'rt @nicholas_mee: v12 vantage rs. a living, breathing and road registered concept car. a genuine piece of aston martin history, unveiled to\xe2\x80\xa6'"
schneiderneuro,b'rt @davidamccormick: p.s. i just bought an electric bike for the institute of neuroscience and will give it to anyone that vows to ride it\xe2\x80\xa6'
ply4hyre,b'rt @nyctaxinews: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/jcov7ulfdz via @fredericlambert'
cygnathreadbare,"b'""things get a little cartoony for mac when he starts seeing iconic cartoon characters, but they\xe2\x80\x99re not just there f\xe2\x80\xa6 https://t.co/ckwmlujzqg'"
globalissuesweb,"b""rwanda: volkswagen's electric car launched in rwanda https://t.co/eumflgqr0d https://t.co/79ow7gudms"""
fame_dubai,b'best dubai luxury and sports cars in dubai: cool mercedes: mercedes benz gle class - pivod  suv car check more at\xe2\x80\xa6 https://t.co/ayosrjszng'
nao33nao33,b'rt @prodroneacademy: lexus has unveiled the first look at a futuristic drone designed to carry your luggage onboard its new electric car co\xe2\x80\xa6'
mirielmargaret,"b'i saw a tesla this morning with the vanity plate \xe2\x80\x9ck1ck gas.\xe2\x80\x9d which, okay, yes! less fossil fuel consumption! but ma\xe2\x80\xa6 https://t.co/03hfkvlyvk'"
amatyakautilya,b'\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84  tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/ajajx8s4pd'
sce_joshuat,"b""top 10 best electric car bargains: shockingly low ev prices dyk that through @sce's clean fuel reward program you c\xe2\x80\xa6 https://t.co/1aubktirlt"""
jaymwanza,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
sexo,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
endblend,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
seremrays,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
tamarrov,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
victorj44190463,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
tabatkins,"b'rt @akronisticlotor: this sucks. when i drove, i drove a fit because it is efficient, cheap to own, and hauls a lot of shit. holds 20some 8\xe2\x80\xa6'"
hana_ruto,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
cnetnews,b'volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
resmach55,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
ebubekirsarika5,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
beetlejuice_pt,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
marcieannlong,b'my first new car was made in usa; engine died at 1600 miles and they cracked the plastic body when changing out the\xe2\x80\xa6 https://t.co/e2b2ewwigu'
dpunisher_1881,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
crusephoto,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
teamsmaldo,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
andrewharding4,"b""11) new book review ~ devil's dyke ~ bk3 ~ the hybrid series ~ by @nlpublications ~ mi5 #thrillers ~ bdsm ~\xe2\x80\xa6 https://t.co/vbwt4t1rje"""
robertturvil,b'rt @carspytv1: buying an electric car?  get the info you need via my new video.  https://t.co/a9zcunes5x via @youtube  #car #cars #electric\xe2\x80\xa6'
thedelosguy,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
thecapcatt,b'rt @telegraphluxury: these chic places to charge your electric car make eco-friendly luxury roadtrips a possibility https://t.co/yxcbthvwf3\xe2\x80\xa6'
britishdude12,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
funkybunch1966,"b""rt @mac123_m: \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85national network of e\xe2\x80\xa6"""
windvondervenus,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
austrolopiostia,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
notofassisi,b'@mirielmargaret my city offers free electric car charging (subsidized by local taxes) which is all well and good ex\xe2\x80\xa6 https://t.co/xa90rp2sxo'
greatoyita,b'another game changer! https://t.co/eqsudiqbe8'
social_media_gy,b'new battery design can charge an electric car in 10 minutes https://t.co/haqcpe8oxe via @circleboom'
drgiesler,"b'great summary of some of today\xe2\x80\x99s #cx19 key learnings from the high priest of #identity based marketing himself,\xe2\x80\xa6 https://t.co/jas46cd5rn'"
takhar_,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
priyankasondur,"b'rt @amreed2: @priyankasondur @drgiesler we call this ""identity loyalty"" when people buy a tesla, they aren\'t just buying an electric car, t\xe2\x80\xa6'"
gulfcars,"b'after showing off the supra gt4 concept in geneva this past march, toyota has announced key details on the final, r\xe2\x80\xa6 https://t.co/5udtfjgjx4'"
drivingschoolza,"b""https://t.co/fpgcpqwfqg | #icymi | toyota gr supra gt4 ready for 2020, sa's electric car future - top motoring stor\xe2\x80\xa6 https://t.co/injemmuxpd"""
thecapcatt,"b""i'm planning on buying an electric car. should i get one? please explain your answer if possible\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x94\x8c\xf0\x9f\x9a\x97"""
buttercup392,"b""rt @mac123_m: \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85national network of e\xe2\x80\xa6"""
pdeeley,"b'there will be 260,000 electric cars on uk roads by the end of 2019 but 2.37m new cars sold in uk each year. unless\xe2\x80\xa6 https://t.co/4wf4nagvb5'"
loveeggbum,"b""@1114_xcix yessss but i don't think they can fit a car in this mv..like the concept is a bit different?\xf0\x9f\x98\x82"""
andrewharding4,"b""00*) ~ devil's dyke ~ bk3 ~ the hybrid series ~ olli steps up, even when it's against the grain  for the hybrids to\xe2\x80\xa6 https://t.co/ibaxx2cn6v"""
luxuryopinions,b'these chic places to charge your electric car make eco-friendly luxury roadtrips a possibility https://t.co/gayk2hwl46 via @telegraphluxury'
mtntandem,b'the sexy electric vehicle you probably haven\xe2\x80\x99t heard of is gunning for tesla https://t.co/gzleidulnc'
emmanuel_agbai_,"b""aubameyang can come to @chelseafc please.. i'd love to see him in blue"""
drcasadol,b'rt @teslany: tesla model 3 becomes first electric car approved as nyc yellow cab \xf0\x9f\x9a\x95\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x97\xbd https://t.co/78mmsof20f $tsla #tesla #ev https://t.co\xe2\x80\xa6'
dubmate1,"b""rwanda: volkswagen's electric car launched in rwanda https://t.co/emh1ttgoj8 #rwanda"""
15minutenewstec,b'new battery design can charge an electric car in 10 minutes https://t.co/uf1eyau4hh #technology'
annadowless,"b'i wake up, i\xe2\x80\x99m freezing. i go outside, i\xe2\x80\x99m freezing. i come to work, i\xe2\x80\x99m still freezing \xf0\x9f\xa5\xb6\xf0\x9f\x98\x90 i need an electric blank\xe2\x80\xa6 https://t.co/5r25txmluw'"
bullentiesha,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
rcarrollcb,b'@hydrolejo @scholastic i wanted to build the first efficient electric car in 3rd grade. even drew sketches and built working models.'
poorlydrawnpurr,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
sarah_exter,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
dumontauge,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
manguscolorado,b'tesla model 3 becomes first electric car approved as nyc yellow cab - electrek https://t.co/c2am9strwo #tesla'
ibironketweets,"b'rt @otunbakush1: no 2, mercedes benz c300 ( 2015)  all model of this car was recalled due to fire, you can park and it will still catch fir\xe2\x80\xa6'"
drsusanbarring1,b'@dan613 @bartholemuew @gillesnfio @bakkmatt @mexicors78 @uk_ecology @pierretherrie14 @brjma @retributianorb\xe2\x80\xa6 https://t.co/wtfhciiaw8'
wmbillprice,"b""car didn't pass inspection. got to get the electrical checked out. \xe2\x80\x94 at irvington auto electric https://t.co/ui9xqof2zn"""
guntherwuest,b'very interesting concept; 100% solar powered car! lightyear_cars   #lightyearone #solarpower #cleanmobility\xe2\x80\xa6 https://t.co/vxduavknlw'
kirklandenviro,b'rt @psetalk: electric vehicles pollute far less than gas-powered cars. exactly how much less depends on your current car and where your ele\xe2\x80\xa6'
stevetheblue,"b""rt @mac123_m: \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85national network of e\xe2\x80\xa6"""
hondaireland,"b'rt @kevinolearygrp: check out the all-new honda cr-v hybrid and its (i-mmd) system. a sporty driving suv with fuel efficiency, low emission\xe2\x80\xa6'"
ckawera,"b'rt @hodali77: in the same month this happened in #rwanda: - the first smartphone ""made in africa"" was released in #rwanda. - the first elec\xe2\x80\xa6'"
flicksterific,b'rt @marcieannlong: my first new car was made in usa; engine died at 1600 miles and they cracked the plastic body when changing out the engi\xe2\x80\xa6'
adsellars,"b""rt @mac123_m: \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85national network of e\xe2\x80\xa6"""
peopieawesome,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
greenpowertrust,"b'rt @lionheartroyal: with students from @uniofhull @hullfs this morning, and the electric kit car they\xe2\x80\x99ve built for @greenpowertrust street\xe2\x80\xa6'"
ccprakay,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
poemsdeps,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
theshandongroup,"b'check out some of our favorite features in our available properties! even if it is a flooring choice, a walk in clo\xe2\x80\xa6 https://t.co/lmsmgs9nxc'"
dire_za,b'mandatory photos of my new glorious model o- \xf0\x9f\x94\xa5 it fits in really well with the rest of my setup and is a perfect ma\xe2\x80\xa6 https://t.co/oupjopg3qz'
ckawera,b'rt @ehategeka: congratulations to @vwrwanda upon this milestone of a first electric car in the region fully aligned to #rwanda\xe2\x80\x99s #green gro\xe2\x80\xa6'
gadman_23,b'@only1rooboy mercedes r-class series'
gwestr,"b""the nicest thing about charging an electric car is i don't need to watch it like a gas pump, which can cause an env\xe2\x80\xa6 https://t.co/httghgohul"""
yolelouis,"b'rt @adewaleoretuga: in 1896, thomas edison, the great inventor who invented the electric bulb,   was working on an idea to design a car whe\xe2\x80\xa6'"
rajkovic_a,b'@tesla have you seen a great proposal by @senschumer on electric cars. brave and visionary! https://t.co/znjrdxnqoq'
aladdindeals,b'check out maisto yellow mercedes-benz slk230 convertible 1:24 scale diecast model car #maisto https://t.co/mja8f9qu8p via @ebay'
michelmnielsen,"b""byd earnings drop 89% as china's electric-car market goes sour https://t.co/z2oypgsavf"""
joey_sd24,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
stasovac83,b'rt @reutersplus: collaboration is powering the next generation of electric and hybrid vehicles. reducing the weight of car components by up\xe2\x80\xa6'
mgmotor,"b'this saturday we will be attending @regentstreetms with zs ev featuring in the @goultralow collection, so come alon\xe2\x80\xa6 https://t.co/ytvj6oxbap'"
flexential,b'are you ready to move from the #publiccloud to a #hybridit model? read this gbook to learn about the boomerang effe\xe2\x80\xa6 https://t.co/sxi6wkxo2v'
swanlowdenepol,"b'pcso clare atkins met with the mens group at the electric church today.we chatted about home, vehicle and cycle saf\xe2\x80\xa6 https://t.co/fcqi7mhwoq'"
_mb01,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
mcscorer61,b'@jthigh @caroljsroth you mean like the subsidies in the form of tax credits that the government provides to people\xe2\x80\xa6 https://t.co/zzlk2n5rrf'
marciojmsilva,b'volkswagen will unveil new id electric car concept at petersen auto museum - roadshow https://t.co/rkam78zlga https://t.co/hedhv0a3w6'
roseleomusk,b'rt @nuovarealta: interesting - and s\xe2\x89\xa1xy \xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96 @tesla #modely https://t.co/vxy2vimhz2'
andy_g_sellars,"b""why britain desperately needs eight new 'gigafactories' to save its car industry, referencing prof walton\xe2\x80\xa6 https://t.co/f3t7bppyl8"""
yesrdb1610,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
bearflag7,"b'finally, an electric crate motor you can drop into your old car https://t.co/dvrb3wcyaw'"
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
andrewharding4,"b""11) fantastic latest review of ~ split decision ~ bk 1 in ~ the hybrid series ~ by @deneale of deneale's book buzz\xe2\x80\xa6 https://t.co/htqvfht3lk"""
cham_sophia,"b'ebook free  the anunnaki final warning to humanity, the end of time, and the return of the anunnaki in 2022. 6th ed\xe2\x80\xa6 https://t.co/5vcwfbbpqn'"
richgoodingcom,b'who knew there was an electric #seat toledo? @majorgav does. (i\xe2\x80\x99ve also learned about a #citroen ax 4x4 on\xe2\x80\xa6 https://t.co/32k11va3pw'
itsbrostinson,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mrtouch18,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
partyprobs,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mzjacobson,b'new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
cham_sophia,"b'ebook free  the anunnaki final warning to humanity, the end of time, and the return of the anunnaki in 2022. 6th ed\xe2\x80\xa6 https://t.co/vjgimtjgsn'"
_______imaan,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
traveipage,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ilker_kuzlu,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
sexualgifs_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ivyleaguebabes,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
sodimu_da,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
cardesignnews,"b'interior motives: honda e - first there was the urban ev concept, then the e prototype. now, we get under the skin\xe2\x80\xa6 https://t.co/hszmncuvwo'"
blancoblanco_,"b'concept car shows japanese plan to make interior &amp; exterior car panels from wood ""  if i had to oversimplify the wo\xe2\x80\xa6 https://t.co/zrsqfrftqt'"
stevelawrence_,"b'@thegreenparty @jon_bartley bike lanes &amp; underground bike parks, tax breaks on electric bikes &amp; scooters, car-shari\xe2\x80\xa6 https://t.co/tprz1rlfoe'"
jddneary,"b""@pulmcrit not if it's an electric car tho"""
topcat4647,"b'with current technology, electric cars are a #scam on the consumer. the modern gasoline engine is more efficient en\xe2\x80\xa6 https://t.co/8r1w7d3rym'"
mickyiv4,"b'rt @otunbakush1: no 2, mercedes benz c300 ( 2015)  all model of this car was recalled due to fire, you can park and it will still catch fir\xe2\x80\xa6'"
sixsensewords,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
richardswart,"b'vw ramps up china electric car factories, taking aim at tesla #innovation #science #blockchain #technology #edge\xe2\x80\xa6 https://t.co/eokuadciri'"
wanderwomanphd,b'@toyota you are wrong about the short memories of consumers and about our lack of concern for environmental impact\xe2\x80\xa6 https://t.co/fxqrhocggj'
_jeepsdaily,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
nairobiautomatt,"b'mercedes benz e250 #quicksale!!! 2012 model, 1800 cc, automatic transmission, very neat and in mint condition, full\xe2\x80\xa6 https://t.co/edexrmbrpn'"
arg23309268,b'rt @earthoxx: @justme52500634 @john86083589 @stevesm31934619 @thejagmeetsingh no car  ride bike take bus occasional cab - electric walk enj\xe2\x80\xa6'
michael46830937,"b""china's bet on coal is little more than common sense. coal is cheap and out of favour in the west. co2 is harmless.\xe2\x80\xa6 https://t.co/tqcmdjil2l"""
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
conradallum,"b""rt @fullychargedshw: ohhhh..check out the electric, in the electric! (and try not to notice @bobbyllew's dirty car!)  https://t.co/otbvdctx\xe2\x80\xa6"""
sagaciousvalli,"b""rwanda , africa's technology lead...."""
amanda_talyat,"b""@mostlymocery @adndotcom you could try watching leonardo dicaprio's newest documentary, a lot of companies have alr\xe2\x80\xa6 https://t.co/w5i3vi4dvh"""
marcbeldata,b'rt @mzjacobson: new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
nice__az,b'driving an electric car is scary sometimes. i had 7 miles on my battery last night but only had 3 when i left for w\xe2\x80\xa6 https://t.co/pxkmzq1ddv'
jimmiani,"b'if this is real, game over.'"
bennafordroush,"b""we're excited!!! ford and #techcrunch said it will debut the electric suv on november 17th; ahead of the la auto sh\xe2\x80\xa6 https://t.co/zpljxtczc3"""
shaks1960,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
ubi_now,"b""@elonmusk    an orange that's still green"""
abagyenzire,"b'rt @pmldailynews_ug: car manufacturer volkswagen and siemens have signed an agreement to build an electric car factory in rwanda, the first\xe2\x80\xa6'"
abrahalliver,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
paolox68,"b'rt @gulfcars: after showing off the supra gt4 concept in geneva this past march, toyota has announced key details on the final, race-ready\xe2\x80\xa6'"
paceward,b'ford have revealed plans to release a mustang inspired electric suv on november 17th - a good idea or messing with\xe2\x80\xa6 https://t.co/5tlt08a09n'
quartermiles,"b""ok but how about a mass produced electric car that isn't the size of an office cubicle and not $50k ??"""
lancer_donnie,b'rt @thejidegrand: @markessien ex-navy officer turned inventor signs a multi-million deal to produce his electric car battery that will take\xe2\x80\xa6'
priestlicious,b'please tell me this is a joke'
ristotreksler,b'too bad this hasn\xe2\x80\x99t taken off. pretty great solution for temporarily extending range. https://t.co/zotfls7uqi'
oashinbreez13,"b'*elon musk, creator of the electric car, endorses yang*'"
mapninja,b'@mouthofmorrison it\xe2\x80\x99s a real problem here. everyone saving the world from the half $million electric super car.'
22rdw,"b'rt @nicholas_mee: v12 vantage rs. a living, breathing and road registered concept car. a genuine piece of aston martin history, unveiled to\xe2\x80\xa6'"
mwamba12,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
quandu,b'#nanotech news: volkswagen will unveil new id electric car concept at petersen auto museum     - roadshow https://t.co/y2cedtuukd'
davidhsearch,b'solving the electric car on-street charging problem (via passle) by @hyperionstephen https://t.co/5launr0mk0\xe2\x80\xa6 https://t.co/us561hqyhj'
notarup,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
bolotosorov,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
uplantatree,"b""@0sundance @goodguide air pollution could make you bald: doctors now say you shouldn't exercise outdoors because po\xe2\x80\xa6 https://t.co/gudaxgqn63"""
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
sharks1334,b'rt @frankbullitt39: fit this to a levc txe &amp; every black cabbie in london will be driving one tomorrow   father-of-eight invents an electri\xe2\x80\xa6'
mickyiv4,"b""rt @otunbakush1: kia optima 2015 this car's issue is from hell, d car fine for face but d transmission na electric, this car wasn't made fo\xe2\x80\xa6"""
poorlyfluff,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
eaphen,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
andrewharding4,b'~~0) ~ new book review ~ split decision ~  bk1 ~ the hybrid series ~ by @nlpublications ~ #thrillers ~ bdsm ~\xe2\x80\xa6 https://t.co/w3taxtrjzh'
tripinatweet,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
